Tridiagonal-sweepsmall-noreorder, Throughput = 43604.2995 Systems/s, Time = 0.01202 s, Size = 524288 Systems
Tridiagonal-sweepsmall-reorder, Throughput = 44881.9184 Systems/s, Time = 0.01168 s, Size = 524288 Systems
Tridiagonal-pcrsmall-base, Throughput = 147941.4064 Systems/s, Time = 0.00354 s, Size = 524288 Systems
Tridiagonal-pcrsmall-optimized, Throughput = 164539.2953 Systems/s, Time = 0.00319 s, Size = 524288 Systems
Tridiagonal-cyclicsmall-base, Throughput = 175991.6939 Systems/s, Time = 0.00298 s, Size = 524288 Systems
Tridiagonal-cyclicsmall-optimized, Throughput = 159002.3561 Systems/s, Time = 0.00330 s, Size = 524288 Systems
Tridiagonal-sweepsmall-noreorder, Throughput = 43258.9831 Systems/s, Time = 0.01212 s, Size = 524288 Systems
Tridiagonal-sweepsmall-reorder, Throughput = 43572.0814 Systems/s, Time = 0.01203 s, Size = 524288 Systems
Tridiagonal-pcrsmall-base, Throughput = 145752.9765 Systems/s, Time = 0.00360 s, Size = 524288 Systems
Tridiagonal-pcrsmall-optimized, Throughput = 162105.8989 Systems/s, Time = 0.00323 s, Size = 524288 Systems
Tridiagonal-cyclicsmall-base, Throughput = 170341.0779 Systems/s, Time = 0.00308 s, Size = 524288 Systems
Tridiagonal-cyclicsmall-optimized, Throughput = 176314.6896 Systems/s, Time = 0.00297 s, Size = 524288 Systems
Tridiagonal-sweepsmall-noreorder, Throughput = 41759.0348 Systems/s, Time = 0.01256 s, Size = 524288 Systems
Tridiagonal-sweepsmall-reorder, Throughput = 44689.3272 Systems/s, Time = 0.01173 s, Size = 524288 Systems
Tridiagonal-pcrsmall-base, Throughput = 159248.6538 Systems/s, Time = 0.00329 s, Size = 524288 Systems
Tridiagonal-pcrsmall-optimized, Throughput = 172100.2707 Systems/s, Time = 0.00305 s, Size = 524288 Systems
Tridiagonal-cyclicsmall-base, Throughput = 180330.1389 Systems/s, Time = 0.00291 s, Size = 524288 Systems
Tridiagonal-cyclicsmall-optimized, Throughput = 180322.0059 Systems/s, Time = 0.00291 s, Size = 524288 Systems
Tridiagonal-sweepsmall-noreorder, Throughput = 46777.5174 Systems/s, Time = 0.01121 s, Size = 524288 Systems
Tridiagonal-sweepsmall-reorder, Throughput = 44732.0258 Systems/s, Time = 0.01172 s, Size = 524288 Systems
Tridiagonal-pcrsmall-base, Throughput = 147877.0391 Systems/s, Time = 0.00355 s, Size = 524288 Systems
Tridiagonal-pcrsmall-optimized, Throughput = 164103.6413 Systems/s, Time = 0.00319 s, Size = 524288 Systems
Tridiagonal-cyclicsmall-base, Throughput = 170971.6166 Systems/s, Time = 0.00307 s, Size = 524288 Systems
Tridiagonal-cyclicsmall-optimized, Throughput = 171400.9880 Systems/s, Time = 0.00306 s, Size = 524288 Systems
Tridiagonal-sweepsmall-noreorder, Throughput = 44471.5106 Systems/s, Time = 0.01179 s, Size = 524288 Systems
Tridiagonal-sweepsmall-reorder, Throughput = 42716.3433 Systems/s, Time = 0.01227 s, Size = 524288 Systems
Tridiagonal-pcrsmall-base, Throughput = 148447.7455 Systems/s, Time = 0.00353 s, Size = 524288 Systems
Tridiagonal-pcrsmall-optimized, Throughput = 163977.8454 Systems/s, Time = 0.00320 s, Size = 524288 Systems
Tridiagonal-cyclicsmall-base, Throughput = 171107.8439 Systems/s, Time = 0.00306 s, Size = 524288 Systems
Tridiagonal-cyclicsmall-optimized, Throughput = 171070.4396 Systems/s, Time = 0.00306 s, Size = 524288 Systems
Tridiagonal-sweepsmall-noreorder, Throughput = 44474.0380 Systems/s, Time = 0.01179 s, Size = 524288 Systems
Tridiagonal-sweepsmall-reorder, Throughput = 42749.7095 Systems/s, Time = 0.01226 s, Size = 524288 Systems
Tridiagonal-pcrsmall-base, Throughput = 147340.6109 Systems/s, Time = 0.00356 s, Size = 524288 Systems
Tridiagonal-pcrsmall-optimized, Throughput = 164228.4039 Systems/s, Time = 0.00319 s, Size = 524288 Systems
Tridiagonal-cyclicsmall-base, Throughput = 171127.9505 Systems/s, Time = 0.00306 s, Size = 524288 Systems
Tridiagonal-cyclicsmall-optimized, Throughput = 171025.2036 Systems/s, Time = 0.00307 s, Size = 524288 Systems
Tridiagonal-sweepsmall-noreorder, Throughput = 44531.7594 Systems/s, Time = 0.01177 s, Size = 524288 Systems
Tridiagonal-sweepsmall-reorder, Throughput = 42765.5472 Systems/s, Time = 0.01226 s, Size = 524288 Systems
Tridiagonal-pcrsmall-base, Throughput = 148577.0306 Systems/s, Time = 0.00353 s, Size = 524288 Systems
Tridiagonal-pcrsmall-optimized, Throughput = 164323.1442 Systems/s, Time = 0.00319 s, Size = 524288 Systems
Tridiagonal-cyclicsmall-base, Throughput = 171660.6927 Systems/s, Time = 0.00305 s, Size = 524288 Systems
Tridiagonal-cyclicsmall-optimized, Throughput = 171444.6854 Systems/s, Time = 0.00306 s, Size = 524288 Systems
Tridiagonal-sweepsmall-noreorder, Throughput = 44534.1403 Systems/s, Time = 0.01177 s, Size = 524288 Systems
Tridiagonal-sweepsmall-reorder, Throughput = 42748.2386 Systems/s, Time = 0.01226 s, Size = 524288 Systems
Tridiagonal-pcrsmall-base, Throughput = 147975.1544 Systems/s, Time = 0.00354 s, Size = 524288 Systems
Tridiagonal-pcrsmall-optimized, Throughput = 163743.7772 Systems/s, Time = 0.00320 s, Size = 524288 Systems
Tridiagonal-cyclicsmall-base, Throughput = 170751.6375 Systems/s, Time = 0.00307 s, Size = 524288 Systems
Tridiagonal-cyclicsmall-optimized, Throughput = 170902.5217 Systems/s, Time = 0.00307 s, Size = 524288 Systems
Tridiagonal-sweepsmall-noreorder, Throughput = 44446.6662 Systems/s, Time = 0.01180 s, Size = 524288 Systems
Tridiagonal-sweepsmall-reorder, Throughput = 42705.5258 Systems/s, Time = 0.01228 s, Size = 524288 Systems
Tridiagonal-pcrsmall-base, Throughput = 150482.2879 Systems/s, Time = 0.00348 s, Size = 524288 Systems
Tridiagonal-pcrsmall-optimized, Throughput = 163552.3321 Systems/s, Time = 0.00321 s, Size = 524288 Systems
Tridiagonal-cyclicsmall-base, Throughput = 170723.9313 Systems/s, Time = 0.00307 s, Size = 524288 Systems
Tridiagonal-cyclicsmall-optimized, Throughput = 170710.0154 Systems/s, Time = 0.00307 s, Size = 524288 Systems
Tridiagonal-sweepsmall-noreorder, Throughput = 44418.9871 Systems/s, Time = 0.01180 s, Size = 524288 Systems
Tridiagonal-sweepsmall-reorder, Throughput = 42657.4693 Systems/s, Time = 0.01229 s, Size = 524288 Systems
Tridiagonal-pcrsmall-base, Throughput = 146675.2791 Systems/s, Time = 0.00357 s, Size = 524288 Systems
Tridiagonal-pcrsmall-optimized, Throughput = 163363.7614 Systems/s, Time = 0.00321 s, Size = 524288 Systems
Tridiagonal-cyclicsmall-base, Throughput = 171468.7485 Systems/s, Time = 0.00306 s, Size = 524288 Systems
Tridiagonal-cyclicsmall-optimized, Throughput = 171527.1964 Systems/s, Time = 0.00306 s, Size = 524288 Systems
Tridiagonal-sweepsmall-noreorder, Throughput = -146076.5512 Systems/s, Time = -0.00359 s, Size = 524288 Systems
Tridiagonal-sweepsmall-reorder, Throughput = 42746.2359 Systems/s, Time = 0.01227 s, Size = 524288 Systems
Tridiagonal-pcrsmall-base, Throughput = 151038.5598 Systems/s, Time = 0.00347 s, Size = 524288 Systems
Tridiagonal-pcrsmall-optimized, Throughput = 163493.1139 Systems/s, Time = 0.00321 s, Size = 524288 Systems
Tridiagonal-cyclicsmall-base, Throughput = 171544.9929 Systems/s, Time = 0.00306 s, Size = 524288 Systems
Tridiagonal-cyclicsmall-optimized, Throughput = 171579.2581 Systems/s, Time = 0.00306 s, Size = 524288 Systems
Tridiagonal-sweepsmall-noreorder, Throughput = 44527.4131 Systems/s, Time = 0.01177 s, Size = 524288 Systems
Tridiagonal-sweepsmall-reorder, Throughput = 42731.6248 Systems/s, Time = 0.01227 s, Size = 524288 Systems
